Timestamp,FlowRate,TotalVol,AvgFlowRate
2026-02-12 14:12:03,0.0,0.0,0.0
2026-02-12 14:12:13,0.0,0.0,0.0
2026-02-12 14:12:23,0.0,0.0,0.0
2026-02-12 14:12:33,0.0,0.0,0.0
2026-02-12 14:12:43,0.0,0.0,0.0
2026-02-12 14:12:53,0.0,0.0,0.0
2026-02-12 14:13:03,0.0,0.0,0.0
2026-02-12 14:13:13,0.0,0.0,0.0
2026-02-12 14:13:23,0.0,0.0,0.0
2026-02-12 14:13:33,0.19,0.31,0.0
2026-02-12 14:13:43,0.19,0.62,0.01
2026-02-12 14:13:53,0.0,0.62,0.01
2026-02-12 14:14:03,0.0,0.62,0.0
2026-02-12 14:14:13,0.0,0.62,0.0
2026-02-12 14:14:23,0.0,0.62,0.0
2026-02-12 14:14:33,0.19,0.93,0.01
2026-02-12 14:14:43,0.0,0.93,0.01
2026-02-12 14:14:53,0.0,0.93,0.01
2026-02-12 14:15:03,0.0,0.93,0.0
2026-02-12 14:15:13,0.0,0.93,0.0
2026-02-12 14:15:23,0.0,0.93,0.0
2026-02-12 14:17:28,0.0,0.0,0.0
2026-02-12 14:17:51,0.0,0.0,0.0
2026-02-12 14:18:12,0.0,0.0,0.0
2026-02-12 14:18:22,0.74,1.23,0.06
2026-02-12 14:18:32,0.0,1.23,0.04
2026-02-12 14:18:42,0.0,1.23,0.03
2026-02-12 14:18:52,0.0,1.23,0.02
2026-02-12 14:19:02,0.0,1.23,0.02
2026-02-12 14:19:12,0.0,1.23,0.02
2026-02-12 14:19:22,0.56,2.16,0.03
2026-02-12 14:19:32,0.0,2.16,0.02
2026-02-12 14:19:42,0.0,2.16,0.02
2026-02-12 14:19:52,0.0,2.16,0.02
2026-02-12 14:21:39,0.0,0.0,0.0
2026-02-12 14:21:49,0.0,0.0,0.0
2026-02-12 14:21:59,0.37,0.62,0.02
2026-02-12 14:22:09,0.0,0.62,0.02
2026-02-12 14:22:19,0.0,0.62,0.01
2026-02-12 14:22:29,0.37,1.23,0.02
2026-02-12 14:22:39,0.19,1.54,0.02
2026-02-12 14:22:49,0.0,1.54,0.02
2026-02-12 14:22:59,0.0,1.54,0.02
2026-02-12 14:23:09,0.0,1.54,0.02
2026-02-12 14:23:19,0.0,1.54,0.01
2026-02-12 14:23:29,0.0,1.54,0.01
2026-02-12 14:23:39,0.0,1.54,0.01
2026-02-12 14:23:49,0.0,1.54,0.01
2026-02-12 14:23:59,0.0,1.54,0.01
2026-02-12 14:24:09,0.0,1.54,0.01
